l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
18572#1809#3117#600000;600000;600000;500000;600000;600000#2;2;2;2;2;2##0;0;0;0;0;0#HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South###390474.995685663#####''#SRID=4326;LINESTRING(-47.1036569392876 -23.6657903593911,-50.8557330481667 -24.3211258410635)#line
2540#2417#2418#138000#3##60####36715.6521369583#####''#SRID=4326;LINESTRING(-70.0511573112309 -15.8316415920628,-70.1202480210689 -15.5088390323204)#line
2579#19446#20223#220000#6##50####12668.9312068461#####''#SRID=4326;LINESTRING(-70.8598114323398 -33.1972422074082,-70.7553706063429 -33.1528635428193)#line
2559#1584#1593#230000###60####146515.245805676#####''#SRID=4326;LINESTRING(-54.2860098106569 -28.3037449856783,-53.1907916365492 -29.0184596668875)#line
2563#1992#2424#138000#3######40382.0909293518#####''#SRID=4326;LINESTRING(-80.8317321853144 -6.02114141586619,-80.5313521298976 -5.92712478868916)#line
2572#757#554#220000#3##60####98894.3030687686#####''#SRID=4326;LINESTRING(-77.7421052887988 -10.6796947434297,-77.2522936548054 -10.1029037624497)#line
2587#1230#19446#220000#6##50####83226.3302741035#####''#SRID=4326;LINESTRING(-71.2263893876823 -32.7204898032932,-70.8598114323398 -33.1972422074082)#line
2645#1484#1612########16250.819152311#####''#SRID=4326;LINESTRING(-50.9454382897737 -21.1567888998088,-50.8426802428479 -21.0526520747114)#line
3406#2744#2898#500000#3##60####316.661493730479#####''#SRID=4326;LINESTRING(-47.9873674024006 -18.4512426321868,-47.9866653367118 -18.457188937315)#line
2814#1673#1674########19892.0065511343#####''#SRID=4326;LINESTRING(-53.4311049529306 -29.5911569250634,-53.2581545257108 -29.6493601090528)#line
3407#2744#2898#500000#3##60####395.350962813534#####''#SRID=4326;LINESTRING(-47.9873674024006 -18.4512426321868,-47.9866653367118 -18.457188937315)#line
9836#766#767#500000;500000#3;3##60;60####7352.72563854423#####''#SRID=4326;LINESTRING(-54.5887635815343 -25.4081278692351,-54.542444885433 -25.4665583845467)#line
2823#1695#1730#220000#6##60####42331.7091099495#####''#SRID=4326;LINESTRING(-76.0326078172287 -10.9202659543477,-76.2775761518521 -10.6729151182163)#line
2669#1594#1624########36794.4609804026#####''#SRID=4326;LINESTRING(-58.2437984082901 -33.8751967420417,-58.0314725091979 -34.1577225809514)#line
2692#1985#2634#33000;13200#6#1#####42069.9045154267#####''#SRID=4326;LINESTRING(-57.506593468344 -35.0911230746267,-57.3633630058275 -35.3815436972375)#line
2719#856#1887#500000#3######313717.958375906#####''#SRID=4326;LINESTRING(-51.3351879676549 -29.8231370826014,-52.4059240625024 -27.2729009090502)#line
2781#19306#1026#230000#3##60##Eletrobras##161365.300244143#####''#SRID=4326;LINESTRING(-52.3919448548421 -26.8635705064719,-53.0129110678492 -25.5400049151806)#line
2813#1673#1938########39220.1463725559#####''#SRID=4326;LINESTRING(-53.4311049529306 -29.5911569250634,-53.7430474144336 -29.711199451504)#line
2876#1707#1708#115000#######1371.22370719888#####''#SRID=4326;LINESTRING(-66.2309645066197 -20.9321205595114,-66.2240588126341 -20.9441485826987)#line
12340#17996#20502#440000#3##60####338.689129838822#####''#SRID=4326;LINESTRING(-47.403738127042 -23.4363046815068,-47.4053833547433 -23.4344043436149)#line
2933#2225#19406#400000#6##60####540.474189135546#####''#SRID=4326;LINESTRING(-62.9992092787028 7.76685424203775,-63.0044182514712 7.77595517784182)#line
2942#1750#2142#500000#3##60####580.269063177249#####''#SRID=4326;LINESTRING(-49.6471167687389 -3.83211861922963,-49.6546410234407 -3.82388631376309)#line
2961#21117#2898#500000#3##60####87292.4076846584#####''#SRID=4326;LINESTRING(-47.7011561848444 -19.1346739267014,-47.9866653367118 -18.457188937315)#line
2965#2177#21117#500000#3##60####105525.778612264#####''#SRID=4326;LINESTRING(-47.438194903875 -20.0129765721473,-47.7011561848444 -19.1346739267014)#line
2970#2899#3062#500000#3##60####90680.2523708222#####''#SRID=4326;LINESTRING(-46.0141396171737 -19.3374000146548,-45.3113318429006 -19.7934596323289)#line
3238#2700#2702##6######24.9474084857426#####''#SRID=4326;LINESTRING(-47.0328122547664 -23.0001166229349,-47.0351077455048 -22.9990340709426)#line
3028#2204#2640#500000#3#4#60####195397.626400471#####''#SRID=4326;LINESTRING(-48.5515438644408 -12.1628912388272,-48.0464554553013 -13.7657053284251)#line
3034#2075#1635#69000###60####49959.4589512155#####''#SRID=4326;LINESTRING(-54.3255733252745 -28.2800346354466,-54.457970299283 -27.8771597543615)#line
